timestamp,decay_time_cycles,decay_time_ms,address,measurement,bit_errors,pass,read_data
2025-05-28 20:03:50.587756,48,0.00024,0,1,0,True,00000000
2025-05-28 20:03:50.604981,48,0.00024,0,3,0,True,00000000
2025-05-28 20:03:50.605032,48,0.00024,0,1,62,False,5A5A0010
2025-05-28 20:03:50.626977,48,0.00024,0,3,62,False,5A5A0010
2025-05-28 20:03:50.628511,48,0.00024,1048833,1,62,False,5A5A0010
2025-05-28 20:03:50.637698,48,0.00024,1048833,3,62,False,5A5A0010
2025-05-28 20:03:50.637770,48,0.00024,2097666,1,56,False,5A520010
2025-05-28 20:03:50.657330,48,0.00024,2097666,3,56,False,5A520010
2025-05-28 20:03:50.657624,48,0.00024,3146499,1,60,False,5A4A0000
2025-05-28 20:03:50.673675,48,0.00024,3146499,3,60,False,5A4A0000
2025-05-28 20:03:50.673770,48,0.00024,4195332,1,54,False,5A420800
2025-05-28 20:03:50.673803,48,0.00024,4195332,3,54,False,5A420000
2025-05-28 20:03:50.683517,48,0.00024,5244165,1,64,False,5A7A0010
2025-05-28 20:03:50.683789,48,0.00024,5244165,3,64,False,5A7A0010
2025-05-28 20:03:50.703889,48,0.00024,6292998,1,58,False,5A720810
2025-05-28 20:03:50.706617,48,0.00024,6292998,3,58,False,5A720810
2025-05-28 20:03:50.719683,48,0.00024,7341831,1,66,False,5A6A0000
2025-05-28 20:03:50.726371,48,0.00024,7341831,3,64,False,5A6A0800
2025-05-28 20:03:50.734053,48,0.00024,2056,1,58,False,5A620800
2025-05-28 20:03:50.735323,48,0.00024,2056,3,58,False,5A620800
2025-05-28 20:03:50.747429,48,0.00024,1050889,1,54,False,5A1A0010
2025-05-28 20:03:50.747501,48,0.00024,1050889,3,54,False,5A1A0010
2025-05-28 20:03:50.747533,48,0.00024,2099722,1,48,False,5A120010
2025-05-28 20:03:50.764033,48,0.00024,2099722,3,48,False,5A120010
2025-05-28 20:03:50.764115,48,0.00024,3148555,1,54,False,5A0A0000
2025-05-28 20:03:50.779307,48,0.00024,3148555,3,54,False,5A0A0000
2025-05-28 20:03:50.779406,48,0.00024,4197388,1,48,False,5A020800
2025-05-28 20:03:50.795328,48,0.00024,4197388,3,48,False,5A020000
2025-05-28 20:03:50.795432,48,0.00024,5246221,1,56,False,5A3A0010
2025-05-28 20:03:50.811305,48,0.00024,5246221,3,56,False,5A3A0010
2025-05-28 20:03:50.811396,48,0.00024,6295054,1,50,False,5A320810
2025-05-28 20:03:50.827356,48,0.00024,6295054,3,48,False,5A320010
2025-05-28 20:03:50.827656,48,0.00024,7343887,1,58,False,5A2A0800
2025-05-28 20:03:50.827892,48,0.00024,7343887,3,60,False,5A2A0000
2025-05-28 20:03:50.843305,48,0.00024,4112,1,52,False,5A220800
2025-05-28 20:03:50.843623,48,0.00024,4112,3,52,False,5A220000
2025-05-28 20:03:50.859333,48,0.00024,1052945,1,64,False,5ADA0090
