timestamp,decay_time_cycles,decay_time_ms,address,measurement,bit_errors,pass,read_data
2025-05-28 19:47:55.035177,48,0.00024,0,1,0,True,00000000
2025-05-28 19:47:55.035338,48,0.00024,0,3,0,True,00000000
2025-05-28 19:47:55.050950,48,0.00024,0,1,62,False,5A5A0010
2025-05-28 19:47:55.051017,48,0.00024,0,3,62,False,5A5A0010
2025-05-28 19:47:55.066919,48,0.00024,1048833,1,62,False,5A5A0010
2025-05-28 19:47:55.066973,48,0.00024,1048833,3,62,False,5A5A0010
2025-05-28 19:47:55.082898,48,0.00024,2097666,1,56,False,5A520010
2025-05-28 19:47:55.082933,48,0.00024,2097666,3,56,False,5A520010
2025-05-28 19:47:55.098900,48,0.00024,3146499,1,60,False,5A4A0000
2025-05-28 19:47:55.098936,48,0.00024,3146499,3,60,False,5A4A0000
2025-05-28 19:47:55.114863,48,0.00024,4195332,1,54,False,5A420800
2025-05-28 19:47:55.114921,48,0.00024,4195332,3,54,False,5A420000
2025-05-28 19:47:55.130908,48,0.00024,5244165,1,64,False,5A7A0010
2025-05-28 19:47:55.130946,48,0.00024,5244165,3,64,False,5A7A0010
2025-05-28 19:47:55.130964,48,0.00024,6292998,1,58,False,5A720810
2025-05-28 19:47:55.146919,48,0.00024,6292998,3,56,False,5A720010
2025-05-28 19:47:55.146966,48,0.00024,7341831,1,64,False,5A6A0800
2025-05-28 19:47:55.162903,48,0.00024,7341831,3,66,False,5A6A0000
2025-05-28 19:47:55.162935,48,0.00024,2056,1,58,False,5A620800
2025-05-28 19:47:55.178891,48,0.00024,2056,3,58,False,5A620800
2025-05-28 19:47:55.178925,48,0.00024,1050889,1,54,False,5A1A0010
2025-05-28 19:47:55.194894,48,0.00024,1050889,3,54,False,5A1A0010
2025-05-28 19:47:55.194929,48,0.00024,2099722,1,48,False,5A120010
2025-05-28 19:47:55.194946,48,0.00024,2099722,3,48,False,5A120010
2025-05-28 19:47:55.210895,48,0.00024,3148555,1,54,False,5A0A0000
2025-05-28 19:47:55.210931,48,0.00024,3148555,3,54,False,5A0A0000
2025-05-28 19:47:55.226911,48,0.00024,4197388,1,48,False,5A020000
2025-05-28 19:47:55.226965,48,0.00024,4197388,3,48,False,5A020000
2025-05-28 19:47:55.242933,48,0.00024,5246221,1,56,False,5A3A0810
2025-05-28 19:47:55.242984,48,0.00024,5246221,3,56,False,5A3A0810
2025-05-28 19:47:55.258906,48,0.00024,6295054,1,50,False,5A320810
2025-05-28 19:47:55.258944,48,0.00024,6295054,3,48,False,5A320010
2025-05-28 19:47:55.274907,48,0.00024,7343887,1,60,False,5A2A0000
2025-05-28 19:47:55.274952,48,0.00024,7343887,3,60,False,5A2A0000
