Address,PatternWritten,ReadbackValues,Tags
0x00000000,00000000,"000000000|000000000|000000000|000000000|000000000","OK|OK|OK|OK|OK"
0x00000000,FFFFFFFF,"000000000|00000de3a|00000de3a|00000de3a|00000de3a","LAG-1 (exp:00000000)|FAIL|FAIL|FAIL|FAIL"
0x00000000,AAAAAAAA,"00000de3a|fffffde3a|fffffde3a|fffffde3a|fffffde3a","FAIL|NEAR-LAG-1 (exp:FFFFFFFF,hd:6)|NEAR-LAG-1 (exp:FFFFFFFF,hd:6)|NEAR-LAG-1 (exp:FFFFFFFF,hd:6)|NEAR-LAG-1 (exp:FFFFFFFF,hd:6)"
0x00000000,55555555,"fffffde3a|aaaaade3a|aaaaade3a|aaaaade3a|aaaaade3a","NEAR-LAG-2 (exp:FFFFFFFF,hd:6)|NEAR-LAG-1 (exp:AAAAAAAA,hd:6)|NEAR-LAG-1 (exp:AAAAAAAA,hd:6)|NEAR-LAG-1 (exp:AAAAAAAA,hd:6)|NEAR-LAG-1 (exp:AAAAAAAA,hd:6)"
0x00000000,DEADBEEF,"aaaaade3a|55555de3a|55555de3a|55555de3a|55555de3a","NEAR-LAG-2 (exp:AAAAAAAA,hd:6)|FAIL|FAIL|FAIL|FAIL"
0x00000000,CAFEBABE,"55555de3a|ddeadde3a|ddeadde3a|ddeadde3a|ddeadde3a","FAIL|NEAR-LAG-1 (exp:DEADBEEF,hd:7)|NEAR-LAG-1 (exp:DEADBEEF,hd:7)|NEAR-LAG-1 (exp:DEADBEEF,hd:7)|NEAR-LAG-1 (exp:DEADBEEF,hd:7)"
0x00000000,12345678,"ddeadde3a|ccafede3a|ccafede3a|ccafede3a|ccafede3a","NEAR-LAG-2 (exp:DEADBEEF,hd:7)|NEAR-LAG-1 (exp:CAFEBABE,hd:5)|NEAR-LAG-1 (exp:CAFEBABE,hd:5)|NEAR-LAG-1 (exp:CAFEBABE,hd:5)|NEAR-LAG-1 (exp:CAFEBABE,hd:5)"
0x00000000,87654321,"ccafede3a|11234de3a|11234de3a|11234de3a|11234de3a","NEAR-LAG-2 (exp:CAFEBABE,hd:5)|NEAR-LAG-1 (exp:12345678,hd:4)|NEAR-LAG-1 (exp:12345678,hd:4)|NEAR-LAG-1 (exp:12345678,hd:4)|NEAR-LAG-1 (exp:12345678,hd:4)"
0x00000000,F0F0F0F0,"11234de3a|88765de3a|88765de3a|88765de3a|88765de3a","NEAR-LAG-2 (exp:12345678,hd:4)|FAIL|FAIL|FAIL|FAIL"
0x00000000,0F0F0F0F,"88765de3a|ff0f0de3a|ff0f0de3a|ff0f0de3a|ff0f0de3a","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,B9125134,"ff0f0de3a|00f0fde3a|00f0fde3a|00f0fde3a|00f0fde3a","FAIL|FAIL|FAIL|FAIL|FAIL"
