Address,PatternWritten,ReadbackValues,Tags
0x00000004,996B0914,"eeb6c5a15|eeb6c024a|eeb6c024a|eeb6c024a|eeb6c024a","NEAR-LAG-2 (exp:D9285A15,hd:5)|FAIL|FAIL|FAIL|FAIL"
0x00000004,5AB427C8,"eeb6c024a|eeb6c0914|eeb6c0914|eeb6c0914|eeb6c0914","FAIL|NEAR-LAG-1 (exp:996B0914,hd:7)|NEAR-LAG-1 (exp:996B0914,hd:7)|NEAR-LAG-1 (exp:996B0914,hd:7)|NEAR-LAG-1 (exp:996B0914,hd:7)"
0x00000004,C74B5E4E,"eeb6c0914|eeb6c27c8|eeb6c27c8|eeb6c27c8|eeb6c27c8","NEAR-LAG-2 (exp:996B0914,hd:7)|FAIL|FAIL|FAIL|FAIL"
0x00000004,116532CC,"eeb6c27c8|eeb6c5e4e|eeb6c5e4e|eeb6c5e4e|eeb6c5e4e","FAIL|NEAR-LAG-1 (exp:C74B5E4E,hd:7)|NEAR-LAG-1 (exp:C74B5E4E,hd:7)|NEAR-LAG-1 (exp:C74B5E4E,hd:7)|NEAR-LAG-1 (exp:C74B5E4E,hd:7)"
0x00000004,22CD0CD0,"eeb6c5e4e|eeb6c32cc|eeb6c32cc|eeb6c32cc|eeb6c32cc","NEAR-LAG-2 (exp:C74B5E4E,hd:7)|FAIL|FAIL|FAIL|FAIL"
0x00000004,E51AAF27,"eeb6c32cc|eeb6c0cd0|eeb6c0cd0|eeb6c0cd0|eeb6c0cd0","FAIL|NEAR-LAG-1 (exp:22CD0CD0,hd:7)|NEAR-LAG-1 (exp:22CD0CD0,hd:7)|NEAR-LAG-1 (exp:22CD0CD0,hd:7)|NEAR-LAG-1 (exp:22CD0CD0,hd:7)"
0x00000004,3ED53DC5,"eeb6c0cd0|eeb6caf27|eeb6caf27|eeb6caf27|eeb6caf27","NEAR-LAG-2 (exp:22CD0CD0,hd:7)|FAIL|FAIL|FAIL|FAIL"
0x00000004,BFB7D7D7,"eeb6caf27|eeb6c3dc5|eeb6c3dc5|eeb6c3dc5|eeb6c3dc5","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000004,D6D3916F,"eeb6c3dc5|eeb6cd7d7|eeb6cd7d7|eeb6cd7d7|eeb6cd7d7","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000004,345CAD84,"eeb6cd7d7|eeb6c916f|eeb6c916f|eeb6c916f|eeb6c916f","FAIL|FAIL|FAIL|FAIL|FAIL"
