Address,PatternWritten,ReadbackValues,Tags
0x00000000,00000000,"000000000|000000000|000000000|000000000|000000000","OK|OK|OK|OK|OK"
0x00000000,FFFFFFFF,"000000000|000000000|000000dfe|000000dfe|000000dfe","LAG-1 (exp:00000000)|LAG-1 (exp:00000000)|FAIL|FAIL|FAIL"
0x00000000,AAAAAAAA,"000000dfe|000000000|000000dfe|000000dfe|000000dfe","FAIL|LAG-2 (exp:00000000)|FAIL|FAIL|FAIL"
0x00000000,55555555,"000000dfe|000000000|000000dfe|000000dfe|000000dfe","FAIL|LAG-3 (exp:00000000)|FAIL|FAIL|FAIL"
0x00000000,DEADBEEF,"000000dfe|000000000|000000dfe|000000dfe|000000dfe","FAIL|LAG-4 (exp:00000000)|FAIL|FAIL|FAIL"
0x00000000,CAFEBABE,"000000dfe|000000000|000000dfe|000000dfe|000000dfe","FAIL|LAG-5 (exp:00000000)|FAIL|FAIL|FAIL"
0x00000000,12345678,"000000dfe|000000000|000000dfe|000000dfe|000000dfe","FAIL|LAG-6 (exp:00000000)|FAIL|FAIL|FAIL"
0x00000000,87654321,"000000dfe|000000000|000000dfe|000000dfe|000000dfe","FAIL|LAG-7 (exp:00000000)|FAIL|FAIL|FAIL"
0x00000000,F0F0F0F0,"000000dfe|000000000|000000dfe|000000dfe|000000dfe","FAIL|LAG-8 (exp:00000000)|FAIL|FAIL|FAIL"
0x00000000,0F0F0F0F,"000000dfe|000000000|000000dfe|000000dfe|000000dfe","FAIL|LAG-9 (exp:00000000)|FAIL|FAIL|FAIL"
0x00000000,B9125134,"000000dfe|000000000|000000dfe|000000dfe|000000dfe","FAIL|LAG-10 (exp:00000000)|FAIL|FAIL|FAIL"
0x00000000,F6108000,"000000dfe|000000000|000000dfe|000000dfe|000000dfe","FAIL|LAG-11 (exp:00000000)|FAIL|FAIL|FAIL"
0x00000000,D9285A15,"000000dfe|000000000|000000dfe|000000dfe|000000dfe","FAIL|LAG-12 (exp:00000000)|FAIL|FAIL|FAIL"
0x00000000,BB93024A,"000000dfe|000000000|000000dfe|000000dfe|000000dfe","FAIL|LAG-13 (exp:00000000)|FAIL|FAIL|FAIL"
0x00000000,996B0914,"000000dfe|000000000|000000dfe|000000dfe|000000dfe","FAIL|LAG-14 (exp:00000000)|FAIL|FAIL|FAIL"
0x00000000,5AB427C8,"000000dfe|000000000|000000dfe|000000dfe|000000dfe","FAIL|LAG-15 (exp:00000000)|FAIL|FAIL|FAIL"
0x00000000,C74B5E4E,"000000dfe|000000000|000000dfe|000000dfe|000000dfe","FAIL|LAG-16 (exp:00000000)|FAIL|FAIL|FAIL"
0x00000000,116532CC,"000000dfe|000000000|000000dfe|000000dfe|000000dfe","FAIL|LAG-17 (exp:00000000)|FAIL|FAIL|FAIL"
0x00000000,22CD0CD0,"000000dfe|000000000|000000dfe|000000dfe|000000dfe","FAIL|LAG-18 (exp:00000000)|FAIL|FAIL|FAIL"
0x00000000,E51AAF27,"000000dfe|000000000|000000dfe|000000dfe|000000dfe","FAIL|LAG-19 (exp:00000000)|FAIL|FAIL|FAIL"
0x00000000,BDE32805,"000000dfe|000000000|000000dfe|000000dfe|000000dfe","FAIL|LAG-20 (exp:00000000)|FAIL|FAIL|FAIL"
0x00000000,1DD20D38,"000000dfe|000000000|000000dfe|000000dfe|000000dfe","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,9493A5A8,"000000dfe|000000000|000000dfe|000000dfe|000000dfe","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,FCA7372E,"000000dfe|000000000|000000dfe|000000dfe|000000dfe","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,A9A7DE3A,"000000dfe|000000000|000000dfe|000000dfe|000000dfe","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000004,00000000,"000000dfe|000000000|000000dfe|000000dfe|000000dfe","FAIL|OK|FAIL|FAIL|FAIL"
0x00000004,FFFFFFFF,"00000de3a|00000de3a|00000de3a|00000de3a|00000de3a","FAIL|FAIL|FAIL|FAIL|FAIL"
