Address,PatternWritten,ReadbackValues,Tags
0x00000000,00000000,"000000000|000000000|000000000|000000000|000000000","OK|OK|OK|OK|OK"
0x00000000,FFFFFFFF,"000000000|00000f3ee|00000f3ee|00000f3ee|00000f3ee","LAG-1 (exp:00000000)|FAIL|FAIL|FAIL|FAIL"
0x00000000,AAAAAAAA,"00000f3ee|ffffff3ee|ffffff3ee|ffffff3ee|ffffff3ee","FAIL|NEAR-LAG-1 (exp:FFFFFFFF,hd:4)|NEAR-LAG-1 (exp:FFFFFFFF,hd:4)|NEAR-LAG-1 (exp:FFFFFFFF,hd:4)|NEAR-LAG-1 (exp:FFFFFFFF,hd:4)"
0x00000000,55555555,"ffffff3ee|aaaaaf3ee|aaaaaf3ee|aaaaaf3ee|aaaaaf3ee","NEAR-LAG-2 (exp:FFFFFFFF,hd:4)|NEAR-LAG-1 (exp:AAAAAAAA,hd:6)|NEAR-LAG-1 (exp:AAAAAAAA,hd:6)|NEAR-LAG-1 (exp:AAAAAAAA,hd:6)|NEAR-LAG-1 (exp:AAAAAAAA,hd:6)"
0x00000000,DEADBEEF,"aaaaaf3ee|55555f3ee|55555f3ee|55555f3ee|55555f3ee","NEAR-LAG-2 (exp:AAAAAAAA,hd:6)|FAIL|FAIL|FAIL|FAIL"
0x00000000,CAFEBABE,"55555f3ee|ddeadf3ee|ddeadf3ee|ddeadf3ee|ddeadf3ee","FAIL|NEAR-LAG-1 (exp:DEADBEEF,hd:5)|NEAR-LAG-1 (exp:DEADBEEF,hd:5)|NEAR-LAG-1 (exp:DEADBEEF,hd:5)|NEAR-LAG-1 (exp:DEADBEEF,hd:5)"
0x00000000,12345678,"ddeadf3ee|ccafef3ee|ccafef3ee|ccafef3ee|ccafef3ee","NEAR-LAG-2 (exp:DEADBEEF,hd:5)|NEAR-LAG-1 (exp:CAFEBABE,hd:5)|NEAR-LAG-1 (exp:CAFEBABE,hd:5)|NEAR-LAG-1 (exp:CAFEBABE,hd:5)|NEAR-LAG-1 (exp:CAFEBABE,hd:5)"
0x00000000,87654321,"ccafef3ee|11234f3ee|11234f3ee|11234f3ee|11234f3ee","NEAR-LAG-2 (exp:CAFEBABE,hd:5)|FAIL|FAIL|FAIL|FAIL"
0x00000000,F0F0F0F0,"11234f3ee|88765f3ee|88765f3ee|88765f3ee|88765f3ee","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,0F0F0F0F,"88765f3ee|ff0f0f3ee|ff0f0f3ee|ff0f0f3ee|ff0f0f3ee","FAIL|NEAR-LAG-1 (exp:F0F0F0F0,hd:6)|NEAR-LAG-1 (exp:F0F0F0F0,hd:6)|NEAR-LAG-1 (exp:F0F0F0F0,hd:6)|NEAR-LAG-1 (exp:F0F0F0F0,hd:6)"
0x00000000,B9125134,"ff0f0f3ee|00f0ff3ee|00f0ff3ee|00f0ff3ee|00f0ff3ee","NEAR-LAG-2 (exp:F0F0F0F0,hd:6)|FAIL|FAIL|FAIL|FAIL"
0x00000000,F6108000,"00f0ff3ee|bb912f3ee|bb912f3ee|bb912f3ee|bb912f3ee","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,D9285A15,"bb912f3ee|ff610f3ee|ff610f3ee|ff610f3ee|ff610f3ee","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,BB93024A,"ff610f3ee|dd928f3ee|dd928f3ee|dd928f3ee|dd928f3ee","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,996B0914,"dd928f3ee|bbb93f3ee|bbb93f3ee|bbb93f3ee|bbb93f3ee","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,5AB427C8,"bbb93f3ee|9996bf3ee|9996bf3ee|9996bf3ee|9996bf3ee","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,C74B5E4E,"9996bf3ee|55ab4f3ee|55ab4f3ee|55ab4f3ee|55ab4f3ee","FAIL|NEAR-LAG-1 (exp:5AB427C8,hd:7)|NEAR-LAG-1 (exp:5AB427C8,hd:7)|NEAR-LAG-1 (exp:5AB427C8,hd:7)|NEAR-LAG-1 (exp:5AB427C8,hd:7)"
0x00000000,116532CC,"55ab4f3ee|cc74bf3ee|cc74bf3ee|cc74bf3ee|cc74bf3ee","NEAR-LAG-2 (exp:5AB427C8,hd:7)|NEAR-LAG-1 (exp:C74B5E4E,hd:7)|NEAR-LAG-1 (exp:C74B5E4E,hd:7)|NEAR-LAG-1 (exp:C74B5E4E,hd:7)|NEAR-LAG-1 (exp:C74B5E4E,hd:7)"
0x00000000,22CD0CD0,"cc74bf3ee|11165f3ee|11165f3ee|11165f3ee|11165f3ee","NEAR-LAG-2 (exp:C74B5E4E,hd:7)|NEAR-LAG-1 (exp:116532CC,hd:5)|NEAR-LAG-1 (exp:116532CC,hd:5)|NEAR-LAG-1 (exp:116532CC,hd:5)|NEAR-LAG-1 (exp:116532CC,hd:5)"
0x00000000,E51AAF27,"11165f3ee|222cdf3ee|222cdf3ee|222cdf3ee|222cdf3ee","NEAR-LAG-2 (exp:116532CC,hd:5)|FAIL|FAIL|FAIL|FAIL"
0x00000000,D85A0EB4,"222cdf3ee|ee51af3ee|ee51af3ee|ee51af3ee|ee51af3ee","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,D8712825,"ee51af3ee|dd85af3ee|dd85af3ee|dd85af3ee|dd85af3ee","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000000,6082F8A7,"dd85af3ee|dd871f3ee|dd871f3ee|dd871f3ee|dd871f3ee","FAIL|FAIL|FAIL|FAIL|FAIL"
