Address,PatternWritten,ReadbackValues,Tags
0x00000000,00000000,"000000000|000000000|000000000|000000000|000000000","OK|OK|OK|OK|OK"
0x00000000,FFFFFFFF,"000000000|000004802|000004802|000004800|000004802","LAG-1 (exp:00000000)|NEAR-LAG-1 (exp:00000000,hd:3)|NEAR-LAG-1 (exp:00000000,hd:3)|NEAR-LAG-1 (exp:00000000,hd:2)|NEAR-LAG-1 (exp:00000000,hd:3)"
0x00000000,AAAAAAAA,"000004802|ffffffbff|fffffffff|fffffffff|fffffffff","NEAR-LAG-2 (exp:00000000,hd:3)|NEAR-LAG-1 (exp:FFFFFFFF,hd:1)|LAG-1 (exp:FFFFFFFF)|LAG-1 (exp:FFFFFFFF)|LAG-1 (exp:FFFFFFFF)"
0x00000000,55555555,"ffffffbff|aaaaaeaaa|aaaaaeaaa|aaaaaeaaa|aaaaaeaaa","NEAR-LAG-2 (exp:FFFFFFFF,hd:1)|NEAR-LAG-1 (exp:AAAAAAAA,hd:1)|NEAR-LAG-1 (exp:AAAAAAAA,hd:1)|NEAR-LAG-1 (exp:AAAAAAAA,hd:1)|NEAR-LAG-1 (exp:AAAAAAAA,hd:1)"
0x00000000,DEADBEEF,"aaaaaeaaa|555555d57|555555d57|555555d57|555555d57","NEAR-LAG-2 (exp:AAAAAAAA,hd:1)|NEAR-LAG-1 (exp:55555555,hd:2)|NEAR-LAG-1 (exp:55555555,hd:2)|NEAR-LAG-1 (exp:55555555,hd:2)|NEAR-LAG-1 (exp:55555555,hd:2)"
0x00000000,CAFEBABE,"555555d57|ddeadfeef|ddeadfeef|ddeadfaef|ddeadfaef","NEAR-LAG-2 (exp:55555555,hd:2)|NEAR-LAG-1 (exp:DEADBEEF,hd:1)|NEAR-LAG-1 (exp:DEADBEEF,hd:1)|NEAR-LAG-1 (exp:DEADBEEF,hd:2)|NEAR-LAG-1 (exp:DEADBEEF,hd:2)"
0x00000000,12345678,"ddeadfeef|ccafefabe|ccafefabe|ccafefabe|ccafefabe","NEAR-LAG-2 (exp:DEADBEEF,hd:1)|NEAR-LAG-1 (exp:CAFEBABE,hd:1)|NEAR-LAG-1 (exp:CAFEBABE,hd:1)|NEAR-LAG-1 (exp:CAFEBABE,hd:1)|NEAR-LAG-1 (exp:CAFEBABE,hd:1)"
0x00000000,87654321,"ccafefabe|112345e7a|112345e7a|112345a7a|112345a7a","NEAR-LAG-2 (exp:CAFEBABE,hd:1)|NEAR-LAG-1 (exp:12345678,hd:2)|NEAR-LAG-1 (exp:12345678,hd:2)|NEAR-LAG-1 (exp:12345678,hd:3)|NEAR-LAG-1 (exp:12345678,hd:3)"
0x00000000,F0F0F0F0,"112345a7a|887654b23|887654b23|887654b23|887654b23","NEAR-LAG-2 (exp:12345678,hd:3)|NEAR-LAG-1 (exp:87654321,hd:2)|NEAR-LAG-1 (exp:87654321,hd:2)|NEAR-LAG-1 (exp:87654321,hd:2)|NEAR-LAG-1 (exp:87654321,hd:2)"
0x00000000,0F0F0F0F,"887654b23|ff0f0f8f2|ff0f0f8f2|ff0f0f8f2|ff0f0f8f2","NEAR-LAG-2 (exp:87654321,hd:2)|NEAR-LAG-1 (exp:F0F0F0F0,hd:2)|NEAR-LAG-1 (exp:F0F0F0F0,hd:2)|NEAR-LAG-1 (exp:F0F0F0F0,hd:2)|NEAR-LAG-1 (exp:F0F0F0F0,hd:2)"
0x00000000,B9125134,"ff0f0f8f2|00f0f4b0f|00f0f4f0f|00f0f4b0f|00f0f4f0f","NEAR-LAG-2 (exp:F0F0F0F0,hd:2)|NEAR-LAG-1 (exp:0F0F0F0F,hd:2)|NEAR-LAG-1 (exp:0F0F0F0F,hd:1)|NEAR-LAG-1 (exp:0F0F0F0F,hd:2)|NEAR-LAG-1 (exp:0F0F0F0F,hd:1)"
